latitude,longitude,count
31.1225,125.181944444444,145
33.1699944444444,126.271519444444,48
33.2219652777778,126.253617777778,22
33.2272216666667,126.260265,163
33.231105,126.244122222222,4
33.2352302777778,126.480583611111,29
33.2352794444444,126.480562222222,144
33.2436388888889,126.386361111111,535
33.2466666666667,126.335555555556,60
33.2478611111111,126.561663888889,929
33.2489666666667,126.569320555556,684
33.252425,126.422288888889,6177
33.2529472222222,126.538917222222,279
33.253,126.538861111111,83
33.2545277777778,126.575455555556,84
33.2547380555556,126.306408333333,200
33.2586833333333,126.453172222222,1070
33.2616388888889,126.505370555556,217
33.2617141666667,126.505289444444,148
33.2617141666667,126.505394444444,144
33.2617222222222,126.505375,14
33.2634994444444,126.616724444444,122
33.2638888888889,126.557783333333,29
33.2656475,126.567766388889,104
33.2666222222222,126.419664722222,949
33.2670752777778,126.201156666667,7
33.2672769444444,126.356516666667,579
33.2711422222222,126.590192777778,101
33.2755555555556,126.666388888889,37
33.2755783333333,126.666630555556,3
33.2761444444444,126.639330555556,11
33.2793444444444,126.719366666667,153
33.2866663888889,126.223468611111,12
33.2867163888889,126.223495,12
33.2879719444444,126.460630277778,19
33.2880908333333,126.316984166667,208
33.2904805555556,126.527735555556,55
33.2992002777778,126.405211666667,115
33.30058,126.292223888889,355
33.3030786111111,126.388081388889,20
33.3035358333333,126.181247777778,158
33.3061138888889,126.714336111111,15
33.3061527777778,126.714269722222,67
33.3127397222222,126.574553611111,123
33.314225,126.812402777778,284
33.3251219444444,126.667234722222,55
33.3260747222222,126.832471111111,644
33.3271986111111,126.253573888889,100
33.3272222222222,126.253722222222,42
33.3294444444444,126.78,7
33.3318277777778,126.781761111111,25
33.3405569444444,126.479737222222,10
33.3406944444444,126.479872777778,13
33.3416319444444,126.406013888889,57
33.3472,126.189475,143
33.3544955555556,126.305700277778,135
33.3574883333333,126.460194444444,19
33.3605475,126.835418333333,25
33.3675333333333,126.368097222222,903
33.3752777777778,126.683611111111,125
33.3781380555556,126.246184166667,720
33.3789111111111,126.245577777778,1442
33.3816666666667,126.623333333333,13
33.3817161111111,126.6235375,46
33.3883333333333,126.855555555556,214
33.38845,126.372527777778,140
33.3887805555556,126.372645277778,39
33.391925,126.494038333333,110
33.3948377777778,126.2478125,516
33.3980555555556,126.786944444444,2230
33.4006241666667,126.719198611111,4
33.4155244444444,126.315183611111,57
33.4156830555556,126.265222777778,135
33.4169416666667,126.407936111111,173
33.4235063888889,126.492434166667,209
33.4257805555556,126.559566666667,12
33.4271794444444,126.612503888889,45
33.4271847222222,126.397124444444,180
33.4271847222222,126.397127222222,465
33.4272222222222,126.579166666667,4
33.4342444444444,126.670322222222,87
33.435,126.733888888889,65
33.4355105555556,126.733806388889,223
33.4377497222222,126.90267,1073
33.4377805555556,126.902673333333,318
33.4383055555556,126.63,127
33.4394555555556,126.630013888889,71
33.4402913888889,126.879724166667,473
33.4404388888889,126.429488888889,209
33.4416666666667,126.279183333333,101
33.4483472222222,126.571672222222,164
33.4484722222222,126.571722222222,114
33.4541097222222,126.561590277778,115
33.4586688888889,126.317118055556,416
33.4592722222222,126.341544444444,165
33.4602858333333,126.561956944444,26
33.4606191666667,126.437330277778,924
33.4655555555556,126.666388888889,63
33.4661322222222,126.933355277778,186
33.4663722222222,126.933233333333,2287
33.4669797222222,126.513015277778,70
33.4692108333333,126.664781666667,177
33.4700105555556,126.5750175,13
33.4733083333333,126.764013888889,92
33.4734094444444,126.384723611111,61
33.4736222222222,126.385705555556,178
33.4738888888889,126.763888888889,20
33.4764055555556,126.487802777778,544
33.4780555555556,126.544166666667,101
