longitude,latitude,cluster
127.01325,37.5652222222222,1
126.447702777778,37.4470591666667,2
126.984580555556,37.5635944444444,3
126.976661111111,37.5646611111111,4
126.895666666667,37.4926916666667,5
126.524930555556,33.5161111111111,6
126.491683888889,33.4875069444444,7
127.045074444444,37.2590138888889,8
127.110869444444,36.9956722222222,9
127.096787777778,37.5118755555556,10
126.447981111111,37.4470591666667,2
126.447702777778,37.4470591666667,2
126.982197222222,37.56075,3
126.2478125,33.3948377777778,11
126.447702777778,37.4470591666667,2
128.586727777778,35.8704305555556,12
127.101472222222,37.5069916666667,13
127.0331,37.5221805555556,14
126.878322222222,35.1273333333333,15
126.447702777778,37.4470591666667,2
127.074333333333,37.5598888888889,16
127.03545,37.5623694444444,17
129.204476944444,35.184205,18
127.126819444444,37.465,19
126.447702777778,37.4470591666667,2
127.012789722222,37.5650213888889,1
127.005197222222,37.5699027777778,20
126.447702777778,37.4470591666667,2
128.573795833333,34.6378263888889,21
126.918065,37.5264038888889,22
126.887955,37.5257972222222,23
126.49185,33.4875611111111,7
128.862427777778,37.7948930555556,24
126.491683888889,33.4875069444444,7
127.111367777778,37.3768463888889,25
126.977058333333,37.1655083333333,26
126.985011111111,37.5169666666667,27
128.734115555556,35.8337594444444,28
127.05775,37.5106583333333,29
127.096787777778,37.5118755555556,10
126.988033333333,37.5423694444444,30
127.077166944444,37.1193836111111,31
129.376234444444,35.9635577777778,32
128.84052,35.0866127777778,33
127.034434722222,37.5071713888889,34
126.894806111111,37.5383922222222,35
126.447702777778,37.4470591666667,2
126.911183333333,37.6133888888889,36
127.0575075,37.5105633333333,29
127.0575075,37.5105633333333,29
127.039444444444,37.5274972222222,37
126.972272222222,37.5718055555556,38
126.538595277778,33.5133130555556,39
126.983002777778,37.5650722222222,3
127.525902777778,37.8052416666667,40
129.041833333333,35.1187222222222,41
126.928460555556,37.4826058333333,42
126.984580555556,37.5635944444444,3
126.489223888889,33.492125,7
127.074308333333,37.2554694444444,43
127.074666666667,37.2555444444444,43
126.893900555556,37.5122394444444,44
127.097777777778,37.5111386111111,10
126.955747222222,37.5328805555556,45
129.018163888889,35.1148852777778,46
127.158319444444,35.8275194444444,47
126.447980555556,37.4470591666667,2
126.984580555556,37.5635944444444,3
126.966441666667,37.4763052777778,48
126.972272222222,37.5718055555556,38
129.029191944444,35.0986236111111,49
126.972547222222,37.5412916666667,50
127.110319444444,37.5553888888889,51
127.124433333333,37.4955444444444,52
127.110319444444,37.5553888888889,51
127.006222222222,37.5597222222222,53
126.860144444444,37.5789527777778,54
126.920233333333,37.5624388888889,55
127.026783333333,37.4984944444444,56
127.023333611111,37.4997311111111,56
126.797658333333,37.5611916666667,57
126.924747222222,37.5211333333333,58
129.010347222222,35.2092111111111,59
127.025861111111,37.4921388888889,56
126.987316666667,37.5613305555555,3
127.030570833333,37.6114113888889,60
127.509243611111,36.3513566666667,61
126.921861111111,37.5290833333333,22
129.058045833333,35.1553888888889,62
126.982197222222,37.56075,3
127.025695555556,37.5031008333333,63
126.447980555556,37.4470591666667,2
126.979308333333,37.5493,64
126.443938888889,37.4555527777778,65
126.443938888889,37.4555527777778,65
126.447981111111,37.4470591666667,2
126.988344444444,37.5739122222222,66
126.984580555556,37.5635944444444,3
126.885288333333,37.5072308333333,44
127.009193333333,37.5039116666667,67
127.006222222222,37.5597222222222,53
126.444716666667,37.2424116666667,68
126.984580555556,37.5635944444444,3
126.890075,37.4739527777778,69
127.208691666667,37.5366333333333,70
126.849388888889,37.2226666666667,71
126.953705555556,37.4579305555556,72
126.927777777778,37.4994444444444,73
127.038630555556,37.5236116666667,37
126.952861111111,37.5118941666667,74
128.701399444444,35.1888958333333,75
126.4855575,33.4889127777778,7
127.004883333333,37.5379527777778,76
127.006825,37.5647722222222,53
127.006222222222,37.5597222222222,53
126.447702777778,37.4470591666667,2
129.062603055556,35.1591811111111,77
127.057575,37.5106333333333,29
126.681702777778,37.6872944444444,78
126.925861944444,37.5589216666667,55
127.2447875,34.23184,79
127.011566666667,37.5708138888889,80
127.0575075,37.5105633333333,29
126.447702777778,37.4470591666667,2
126.741477777778,37.5064416666667,81
127.081627777778,37.5113472222222,82
126.447980555556,37.4470591666667,2
127.031472777778,37.8546580555556,83
126.998027777778,37.5673888888889,84
127.451355555556,36.30215,85
128.402542222222,36.1061286111111,86
127.001902777778,37.5840472222222,87
126.749148333333,37.5054358333333,88
126.491683888889,33.4875069444444,7
126.797658333333,37.5611916666667,57
127.009193333333,37.5039116666667,67
126.984580555556,37.5635944444444,3
126.797658333333,37.5611916666667,57
127.080002777778,37.5575111111111,16
126.984458055556,37.5633594444444,3
126.925991666667,37.557625,55
129.091283333333,35.1181944444444,89
126.987316666667,37.5613305555555,3
127.022319444444,37.6345833333333,90
127.069238888889,37.5693722222222,91
129.432023055556,35.523725,92
126.447980555556,37.4470591666667,2
126.2989125,33.9583544444444,93
126.447736111111,37.4470525,2
127.088533333333,37.5529055555556,94
130.898808611111,37.4889694444444,95
126.491683888889,33.4875069444444,7
127.076950833333,37.5455816666667,96
126.653402222222,37.4124725,97
128.954831666667,35.1766355555556,98
126.994430555556,37.5610388888889,99
128.952994722222,35.1734497222222,98
126.764013888889,33.4733083333333,100
126.924862777778,37.0273386111111,101
126.972527777778,37.5412777777778,50
126.443938888889,37.4555527777778,65
126.886955277778,37.4847255555556,102
126.468308888889,33.4801297222222,103
127.063872222222,37.1044,104
126.428605833333,34.7636625,105
127.211091388889,38.0161872222222,106
127.011177777778,37.5707916666667,80
127.891388055556,36.3265572222222,107
129.058045833333,35.1553888888889,62
127.027226388889,37.5252905555556,14
128.708305555556,35.8672055555556,108
127.101397222222,37.5069491666667,13
126.447736111111,37.4470525,2
127.007,37.5479833333333,109
126.776326666667,36.9318666666667,110
126.447980555556,37.4470591666667,2
126.969866944444,37.4849158333333,111
127.097777777778,37.5111386111111,10
126.997111111111,37.5729888888889,20
127.108337777778,37.5486386111111,51
127.053894444444,37.5011288888889,112
126.976053055556,37.5563566666667,113
126.971668611111,37.5627827777778,4
127.1053,35.80695,114
127.054527777778,37.9080027777778,115
128.086191666667,35.0800388888889,116
126.8763175,37.4814775,117
126.447702777778,37.4470591666667,2
127.705527777778,38.1036388888889,118
126.897510833333,37.4716686111111,119
126.704441944444,37.5697941666667,120
